n,D,dt,cutoff,total_time,ed_mode,observable_mode,ed_boundary_condition,ed_symmetry_sector,ed_observable_scope,ed_reference_label,ed_basis_dimension,ed_constrained_dimension,ed_group_order,ed_hamiltonian_nnz,ed_runtime_seconds,ipeps_runtime_seconds,reversibility_runtime_seconds,density_error_simple,density_error_exact_finite,density_error_ctm,return_probability_error,ed_return_probability,ed_excitation_density,ipeps_simple_density,ipeps_exact_finite_density,ipeps_ctm_density,max_truncerr,log_norm_initial,log_norm_final,log_norm_delta_abs,reversibility_density_drift,ctm_trust_status,ctm_trust_reason,notes,warnings
3,2,0.02,1.0e-12,0.02,symmetric_pbc,ctm_trusted,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.418179765,339.00590434,0.1552393,-0.00018878367295946085,,-1.0642377493044579e-7,,0.9964052758292085,0.00039973345560138327,0.00021094978264192242,,0.0003996270318264528,6.057284815157998e-29,0.0,7.2780453958794755,7.2780453958794755,2.217016760635959e-30,rejected,too_few_points,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
3,3,0.02,1.0e-12,0.02,symmetric_pbc,ctm_trusted,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.418179765,1.951094916,0.447758979,-0.00018878367295946863,,-1.0642377492659687e-7,,0.9964052758292085,0.00039973345560138327,0.00021094978264191464,,0.00039962703182645667,6.057284815157998e-29,0.0,7.27804539587947,7.27804539587947,2.224133539826552e-30,rejected,too_few_points,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
3,4,0.02,1.0e-12,0.02,symmetric_pbc,ctm_trusted,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.418179765,6.251235733,1.757078893,-0.00018878367295945358,,-1.0642377492583793e-7,,0.9964052758292085,0.00039973345560138327,0.0002109497826419297,,0.00039962703182645743,1.8406289960041325e-28,0.0,7.278045395879469,7.278045395879469,2.233362121395145e-30,rejected,too_few_points,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
