step,time,density_simple,blockade_violation_simple,pxp_energy_density_simple,exact_finite_density,max_truncerr,mean_bond_entropy,max_bond_entropy,log_norm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,0.00021094978264192242,7.493049589061703e-32,-1.4072767083315e-17,0.00039962698926202076,6.057284815157998e-29,0.000488671463340667,0.0010208140309151616,7.2780453958794755
2,0.04,0.0006209453299681983,1.7575852204162685e-25,1.5464248767160094e-16,0.0015953167147075209,1.1244494508800848e-13,0.0022121244274475463,0.0035300598582297827,25.993025738423416
3,0.06,0.0013945003658569978,4.6870009669207106e-23,-8.804740444629895e-16,0.003577532699536235,1.1058640486033514e-12,0.004535156232881445,0.007213741432460596,44.70804551527364
4,0.08,0.0024728535724361303,1.6731279876633348e-21,2.0429945925526648e-15,0.006330503904987701,4.559308209832084e-12,0.007508316275809372,0.011903633972788126,63.423172569937975
5,0.1,0.0038515872175553384,2.3491680823909456e-20,9.282263895173768e-16,0.009832407583696398,1.2902801606666136e-11,0.011064760249299714,0.01748237153647888,82.13853026388917
6,0.12,0.005525121999883279,1.92131953307082e-19,7.88380596009104e-16,0.01405562390816218,2.94892884810976e-11,0.015154085309238733,0.023858589089878802,100.85430987370373
7,0.14,0.007486735563169787,1.1050189682625533e-18,-4.125514694421555e-16,0.01896706161720293,5.868266897061402e-11,0.0197358766105707,0.030957181844268693,119.57078405542661
8,0.16,0.00972858545209062,4.964298003301307e-18,1.5526219226339148e-16,0.02452855337360742,1.0596625881208476e-10,0.02477621444836249,0.038714040711689546,138.28831887768584
9,0.18,0.01224173691328197,1.8584059398971382e-17,1.8925623152456943e-16,0.030697318678497867,1.7807443470813068e-10,0.030245535111638806,0.04707293136165201,157.00738441680824
10,0.2,0.015016196124359912,6.049524613020169e-17,-2.5513142863438327e-16,0.03742649100815592,2.831508520697572e-10,0.03611721046874994,0.05598348337534079,175.7285637318741
11,0.22,0.018040949430319902,1.7637178927940095e-16,-1.642829860322016e-15,0.04466570431665201,4.309373978288914e-10,0.04236655452443874,0.06539981476913487,194.4525600636504
12,0.24,0.02130400910673378,4.704458639746035e-16,-7.799384929897599e-16,0.052361732204755616,6.329987359322515e-10,0.04897010703450985,0.0752795483834195,213.18020213107707
13,0.26,0.024792466062371343,1.1663465095110154e-15,-1.2967078278918194e-15,0.06045917095274827,9.029877849463076e-10,0.05590511027020923,0.08558308471651518,231.91244743234438
14,0.28,0.028492549744625766,2.7201937210192653e-15,-8.212065952835297e-16,0.06890115535362316,1.256957598960126e-9,0.06314912847247162,0.09627305106072373,250.65038349409133
15,0.3,0.032389695325367666,6.023702027565321e-15,-1.2663967352869839e-15,0.07763009400604066,1.7137247766831329e-9,0.07067977758715746,0.10731387709185776,269.39522705115485
16,0.32,0.03646861803090845,1.275813401126552e-14,-1.2045828034843927e-15,0.08658840861063344,2.2952885779042065e-9,0.07847454308443697,0.11867146459644375,288.1483211796698
