step,time,norm,return_probability,excitation_density
0,0.0,1.0,1.0,0.0
1,0.02,1.0000000000000004,0.9964052758292085,0.00039973345560138327
2,0.04,1.0000000000000004,0.9856842134542338,0.0015957411502296336
3,0.06,1.0000000000000004,0.9680246511667309,0.003578488882882304
4,0.08,1.0000000000000004,0.9437347191523369,0.00633223150894657
5,0.1,1.0000000000000004,0.9132355782555527,0.009835227731858387
6,0.12,1.0000000000000002,0.8770515286132751,0.014060034897999313
7,0.14,1.0000000000000004,0.8357977531472843,0.018973878053027936
8,0.16,1.0000000000000004,0.7901660235348077,0.024539086117303165
9,0.18,1.0000000000000004,0.7409087496196362,0.030713586808558655
10,0.2,1.0000000000000002,0.6888217957865046,0.03745145090992117
11,0.22,1.0000000000000004,0.6347265184142,0.04470347567378394
12,0.24,1.0000000000000004,0.5794514963111151,0.05241779658406359
13,0.26,1.0000000000000004,0.5238144305551026,0.060540516381736374
14,0.28,1.0000000000000004,0.4686046813262043,0.06901634019540724
15,0.3,1.0000000000000002,0.41456688744109665,0.07778920580747585
16,0.32,1.0000000000000004,0.3623860800534547,0.08680289851813841
17,0.34,1.0000000000000002,0.31267465641248654,0.09600164072867802
18,0.36,1.0000000000000004,0.2659615240353475,0.10533064723115582
19,0.38,1.0000000000000004,0.22268366179523663,0.11473663823750929
20,0.4,1.0000000000000004,0.18318027413877017,0.12416830337664275
21,0.42,1.0000000000000004,0.14768963998688864,0.133576711199362
22,0.44,1.0000000000000004,0.11634868102559238,0.142915660121503
23,0.46,1.0000000000000002,0.08919519729371117,0.15214196816747533
24,0.48,1.0000000000000002,0.06617264345150313,0.1612157003114885
25,0.5,1.0000000000000004,0.04713724901685469,0.17010033361450297
26,0.52,1.0000000000000002,0.03186722219688236,0.1787628616857999
27,0.54,1.0000000000000004,0.02007372153564732,0.18717384122610942
28,0.56,1.0000000000000004,0.011413234006677934,0.1953073845052683
29,0.58,1.0000000000000002,0.005500963669240881,0.20314110256663725
30,0.6,1.0000000000000002,0.0019248125145174236,0.21065600471330465
31,0.62,1.0000000000000004,0.00025952522763609935,0.21783636040334087
32,0.64,1.0000000000000002,8.057248443675221e-5,0.22466953005481405
33,0.66,1.0000000000000002,0.0009773629086059438,0.23114577143372633
34,0.68,1.0000000000000002,0.002565401382707844,0.2372580282732622
35,0.7000000000000001,1.0000000000000002,0.004497050127009713,0.24300170756028933
36,0.72,1.0000000000000002,0.006470597596326044,0.24837445153982843
37,0.74,1.0000000000000002,0.00823739727063172,0.25337590994995074
38,0.76,1.0000000000000002,0.009606902059203535,0.25800751733215066
39,0.78,1.0000000000000002,0.010449488339266523,0.2622722794929063
40,0.8,1.0000000000000002,0.01069703451569251,0.2661745723505503
41,0.8200000000000001,1.0000000000000002,0.010341290256604529,0.2697199555188984
42,0.84,1.0000000000000002,0.009430142065134671,0.2729150020869719
43,0.86,1.0,0.008061946485173737,0.27576714518375234
44,0.88,1.0000000000000002,0.0063781620274639995,0.2782845410978921
45,0.9,1.0000000000000002,0.004554563043273186,0.280475947981913
46,0.92,1.0000000000000002,0.0027913617038886254,0.28235061853268817
47,0.9400000000000001,1.0,0.0013025966857880345,0.2839182045249189
48,0.96,1.0,0.000305168154792647,0.2851886706973731
49,0.98,1.0,7.907578085557097e-6,0.28617221526321035
50,1.0,1.0000000000000002,0.0006010675279330181,0.2868791942408951
51,1.02,1.0,0.002246601106411208,0.2873200468805805
52,1.04,1.0,0.005069573417138827,0.28750521968664894
53,1.06,1.0,0.00915100949294171,0.2874450868993257
54,1.08,1.0,0.014522435440869263,0.2871498657811408
55,1.1,1.0,0.02116231376398412,0.28662952563741
56,1.12,1.0,0.028994511586913036,0.2858936901601636
57,1.1400000000000001,1.0,0.03788887376951263,0.28495153339554
58,1.16,1.0,0.04766390369881121,0.28381167036712024
59,1.18,1.0,0.058091485038701256,0.2824820441125245
60,1.2,1.0,0.0689035100369352,0.28096981157830136
61,1.22,1.0,0.07980021623458348,0.2792812314401091
62,1.24,1.0,0.09045997557341748,0.27742155744472724
63,1.26,1.0,0.10055022975553059,0.2753949412835995
64,1.28,1.0,0.10973922485094341,0.2732043492840694
65,1.3,1.0,0.11770816786944534,0.2708514973281802
66,1.32,1.0,0.12416340929207181,0.26833680836870794
67,1.34,1.0,0.12884824902795744,0.2656593967020962
68,1.36,1.0000000000000002,0.1315539691897726,0.26281708277785715
69,1.3800000000000001,1.0,0.13212971535601065,0.2598064417791231
70,1.4000000000000001,1.0,0.13049087812856547,0.2566228885102878
71,1.42,1.0,0.1266256679573765,0.2532608002912706
72,1.44,1.0,0.12059962721337554,0.2497136786049895
73,1.46,1.0000000000000002,0.11255788286868837,0.24597434920054137
74,1.48,1.0,0.1027250091537213,0.24203519924838027
75,1.5,1.0,0.09140244026272785,0.23788844900722905
76,1.52,1.0,0.07896344648199091,0.23352645432915559
77,1.54,1.0,0.06584576083994592,0.22894203523366113
78,1.56,1.0,0.05254201532586455,0.22412882475800694
79,1.58,1.0000000000000002,0.03958821373526911,0.21908163137240183
80,1.6,1.0,0.027550530225130532,0.21379680746589963
81,1.62,1.0,0.017010776817282594,0.20827261578951806
82,1.6400000000000001,1.0,0.008550927715891138,0.202509585310773
83,1.6600000000000001,1.0,0.0027371220199337147,0.19651084770724891
84,1.68,1.0000000000000002,0.00010358814602654578,0.19028244571931163
85,1.7,1.0000000000000002,0.0011369423105079028,0.18383360480097458
86,1.72,1.0,0.0062613094029845984,0.17717695995441873
87,1.74,1.0000000000000002,0.01582469754905636,0.17032873030252096
88,1.76,1.0000000000000002,0.03008702802218622,0.1633088348334795
89,1.78,1.0000000000000002,0.049210180709082264,0.15614094382465854
90,1.8,1.0,0.07325036319363855,0.14885246169591476
91,1.82,1.0000000000000002,0.10215305015190546,0.14147443842763516
92,1.84,1.0000000000000002,0.13575067086967127,0.13404140817291055
93,1.86,1.0,0.17376314825458927,0.12659115526061315
94,1.8800000000000001,1.0000000000000002,0.21580131483385706,0.11916440938806182
95,1.9000000000000001,1.0000000000000002,0.26137315213009393,0.1118044733984024
96,1.92,1.0000000000000002,0.30989272175763505,0.10455678858839061
97,1.94,1.0000000000000002,0.36069158181968614,0.09746844395727515
98,1.96,1.0000000000000002,0.41303241286436443,0.09058763714910602
99,1.98,1.0000000000000002,0.4661245157723095,0.08396309602409063
100,2.0,1.0000000000000002,0.5191407912865327,0.07764347078850033
