step,time,density_simple,blockade_violation_simple,pxp_energy_density_simple,exact_finite_density,max_truncerr,mean_bond_entropy,max_bond_entropy,log_norm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,0.0002109497826419297,3.2525078839679113e-32,-1.679774696768161e-16,0.00039962698926202563,1.8406289960041325e-28,0.0004886714628230171,0.0010208140309151616,7.278045395879469
2,0.04,0.0006209453299680498,1.7573133861930887e-25,-1.0105400950256595e-15,0.001595316714707585,1.1244494369397995e-13,0.002212124427164045,0.0035300598582298647,25.99302573842342
3,0.06,0.0013945003658568421,4.6870183967086537e-23,-2.1770314173125575e-15,0.0035775326995363213,1.1058640476035744e-12,0.0045351562329210135,0.00721374143246037,44.70804551527362
4,0.08,0.0024728535724359724,1.673129117979261e-21,-1.8587103411484897e-15,0.0063305039049877795,4.55930820861643e-12,0.007508316275853117,0.011903633972787896,63.423172569938
5,0.1,0.003851587217555151,2.349170638960912e-20,-6.134242427580313e-16,0.009832407583696497,1.290280160910224e-11,0.011064760249274625,0.01748237153647856,82.13853026388927
6,0.12,0.005525121999883109,1.9213200267684702e-19,5.133144783525954e-16,0.014055623908162158,2.948928849336421e-11,0.01515408530924194,0.023858589089879267,100.8543098737039
7,0.14,0.007486735563169746,1.1050190351698353e-18,1.516151420876479e-15,0.018967061617202904,5.868266899441375e-11,0.019735876610562524,0.030957181844268985,119.57078405542694
8,0.16,0.008834516135469973,5.312284479970666e-18,8.728639509596404e-15,0.02452874475630294,8.542627575095819e-11,0.024437901591756857,0.038714040711689685,138.89651654003276
9,0.18,0.022786620493744764,1.3829763251329009e-11,4.462047121879557e-13,0.03070079792663936,8.766740647209967e-11,0.1200946451238818,0.7816196682027936,168.57230625188126
10,0.2,0.04245473973751734,2.49751941000687e-10,8.768627789337027e-14,0.037401263951271,1.4032505756811779e-5,0.20883922614160055,0.8476684988849404,206.014005899376
11,0.22,0.04395620479157557,2.0746093911513245e-12,3.4376103289346596e-14,0.044604531873067885,2.0736993594761422e-5,0.20359506980298034,0.8402476798284633,243.53242443487633
12,0.24,0.04443362704800184,2.279223273100855e-12,-7.695409675054356e-15,0.05229200952050497,7.687848776992829e-6,0.21249952135909705,0.8316818145840433,281.0421059989156
13,0.26,0.046001245942322445,2.0077005745695595e-12,-6.454641404432353e-15,0.06038702513096615,5.992044431158447e-6,0.21141737263457272,0.8249724851496841,318.54152537829395
14,0.28,0.04724422795473812,2.9118535193842857e-12,-2.4385459374761548e-14,0.06883283194566434,2.156252642014963e-6,0.21967448092629432,0.8158700901113867,356.0374926225575
15,0.3,0.04892982070016059,4.536858358801811e-12,2.8115103319180477e-14,0.07757367796804089,1.578646076950303e-6,0.22100853384055158,0.8099012995280149,393.52432425751914
16,0.32,0.05067166218004276,6.6234077697344944e-12,4.245452690163394e-14,0.08655383248447512,6.881610886951657e-7,0.22849567211667493,0.8010245494910473,431.0056312384339
17,0.34,0.05257387523462628,9.528967961453416e-12,-1.0510859695616974e-14,0.0957197389012113,5.734655956647185e-7,0.23172792739376172,0.7954697814196544,468.478361939521
18,0.36,0.054634052351149195,1.3078528048534961e-11,-3.1187812525337872e-15,0.10501847097091066,4.147279133923699e-7,0.23863258633056184,0.7874561210563203,505.9442676984111
19,0.38,0.05676506387698586,1.7429533803169815e-11,-6.432337333966423e-15,0.11439967646603777,3.8086056550379685e-7,0.24329492807860018,0.7820260446878015,543.4024099527711
20,0.4,0.059037380973498706,2.2569939408479564e-11,-4.9618001719130266e-15,0.12381482861052984,3.6831934049485363e-7,0.2499209144805309,0.7749725371353796,580.853919849003
21,0.42,0.061359905673245375,2.8513615643803295e-11,-1.3848577641233888e-14,0.13321828186285384,3.7758326155005694e-7,0.2555922374870544,0.7695020041614118,618.2994046927054
22,0.44,0.06377744951788011,3.534379029538975e-11,-3.4144086738833293e-14,0.1425670034293434,3.9641292073362004e-7,0.2622085965583535,0.7631679134196294,655.7402206082835
23,0.46,0.06623605565078647,4.3070585861468814e-11,-2.353680170419148e-14,0.15182104300202656,4.123466021741445e-7,0.2685553481053365,0.7575805820804186,693.1780963562389
24,0.48,0.06874835524992956,5.1822608510653174e-11,-4.736659323066875e-14,0.16094344937930097,4.267347280365506e-7,0.27533460405224613,0.7515961123147208,730.6150750927454
25,0.5,0.07128739589745653,6.168795068747826e-11,-5.580659261995933e-14,0.1699004122191891,4.688896804227032e-7,0.2821305343475796,0.7458272373979816,768.0537709671132
26,0.52,0.07384918349368624,7.284557929003722e-11,-5.666908250190852e-14,0.17866120237914104,5.182721215128464e-7,0.2891413970319474,0.7398401660137749,805.4970720672627
27,0.54,0.07641863817009702,8.548664199909039e-11,-5.708999297211347e-14,0.1871981463354549,5.685300192081951e-7,0.2962481063076142,0.7337879388240495,842.9483754227072
28,0.56,0.0789865671742767,9.986870983124818e-11,-6.295396813387542e-14,0.19548653363320348,6.201198951129626e-7,0.30348339761328885,0.727525992490953,880.4113962794929
29,0.58,0.08154181888328998,1.1629169862734813e-10,-6.56999377937932e-14,0.20350451487572147,6.724150583413878e-7,0.3108114579282487,0.7210582332651748,917.8902650234919
30,0.6,0.08407455930523285,1.3511303929052345e-10,-6.944435115949433e-14,0.21123298013915087,7.251919498680532e-7,0.31822396225121286,0.714331495908338,955.3894480723003
31,0.62,0.0865749997710952,1.5674132094737063e-10,-7.359562112099508e-14,0.2186554327605666,7.780344269553626e-7,0.3257016483265656,0.707324419884467,992.9137660189493
32,0.64,0.08903383526141972,1.816359011986567e-10,-7.330885354470643e-14,0.22575786401460787,8.305624336047818e-7,0.3332286247001941,0.7000144148840761,1030.4683654052299
33,0.66,0.09144210821056557,2.1029962752993968e-10,-7.880740142720394e-14,0.23252863507100122,8.823676521857738e-7,0.3407877330575365,0.6923907352654728,1068.0587133463434
34,0.68,0.09379125372752534,2.4326873177586135e-10,-8.176057095490982e-14,0.23895837044820453,9.33046363686961e-7,0.3483620985445468,0.6844516520850297,1105.6905846650689
35,0.7000000000000001,0.09607309973089502,2.810977379796141e-10,-8.133602785562477e-14,0.2450398651676393,9.822054932859984e-7,0.35593481051335085,0.6762063408407927,1143.3700525252243
36,0.72,0.09827988343755203,3.243399036398586e-10,-8.080776236229775e-14,0.25076800567434915,1.0294762646254575e-6,0.36348906807113596,0.6676751155716572,1181.1034772329424
37,0.74,0.10040427021733181,3.735235889788218e-10,-8.139664555459708e-14,0.2561397023690305,1.0745257486974563e-6,0.3710081837782537,0.6588896038552068,1218.8974929967728
38,0.76,0.10243937850773895,4.2912584515023605e-10,-8.253650446126268e-14,0.2611538295305083,1.117067505795797e-6,0.378475598493462,0.6498923672034164,1256.7589904657207
39,0.78,0.10437881044549963,4.915451453986264e-10,-8.12651614240502e-14,0.26581116660857235,1.1568701642463717e-6,0.3858748882454298,0.6407360083377496,1294.6950931331621
40,0.8,0.1062166881322447,5.610757422937752e-10,-7.90670115603633e-14,0.2701143334885338,1.193763406801353e-6,0.3931897770878565,0.6314817477535118,1332.7131254898923
41,0.8200000000000001,0.10794769490419062,6.378864131078759e-10,-7.969150711909146e-14,0.27406771148581976,1.227640981889307e-6,0.4004041577261664,0.6221975229475409,1370.8205708901019
42,0.84,0.10956712060487796,7.220062775352759e-10,-7.912603914942751e-14,0.27767734160929064,1.2584606381257046e-6,0.40750211616225074,0.6129557086488625,1409.025017345594
43,0.86,0.11107090949238597,8.133198971335318e-10,-7.677551863739474e-14,0.28095079208489143,1.2862411502031952e-6,0.41446795242021733,0.6038305956767613,1447.334089992046
44,0.88,0.11245570895684733,9.11573029318464e-10,-7.61931390464025e-14,0.28389698826707366,1.3110568419492394e-6,0.4212861911983011,0.5948957908468123,1485.7553698403458
45,0.9,0.11371891653595363,1.0163893118560999e-9,-7.343387001949968e-14,0.2865259998575536,1.3330301890401169e-6,0.42794158524551174,0.5862217091432791,1524.296299676721
46,0.92,0.11485872172462346,1.1272969554820498e-9,-7.280083955441739e-14,0.2888487827410904,1.3523231860211544e-6,0.4344191286181296,0.5778733220547594,1562.964079574883
47,0.9400000000000001,0.11587413789384016,1.2437634140769577e-9,-6.956932092921136e-14,0.2908768756507712,1.3691281876163548e-6,0.44070411164149487,0.573288640462792,1601.7655562862776
48,0.96,0.11676501862431138,1.365235180584355e-9,-6.604098276366835e-14,0.2926220551802851,1.3836588898364472e-6,0.44678225748008127,0.590500196943392,1640.7071125031557
49,0.98,0.1175320524796497,1.4911794883458224e-9,-6.741507885395047e-14,0.2940959562286233,1.3961420142346745e-6,0.4526399756842277,0.6077349481573525,1679.7945632590506
50,1.0,0.118176731249862,1.6211248778549653e-9,-6.478774136462531e-14,0.29530966861695507,1.4068101146005725e-6,0.4582647487085097,0.6249027336230663,1719.0330671351396
51,1.02,0.11870128926403861,1.7546983029077769e-9,-6.169618851399224e-14,0.296273324134402,1.4158957577211889e-6,0.4636456365351564,0.6419084355344218,1758.4270591808504
52,1.04,0.11910861524643931,1.891657559107542e-9,-5.86837776145239e-14,0.29699569137450266,1.4236271590886587e-6,0.46877385069189637,0.6586561677602975,1797.9802104809023
53,1.06,0.11940214254054017,2.0319190704167596e-9,-5.596744405487547e-14,0.2974837981023224,1.4302252008258677e-6,0.4736433229641484,0.6750536446404206,1837.695416378618
