step,time,norm,return_probability,excitation_density
0,0.0,1.0,1.0,0.0
1,0.02,1.0000000000000009,0.985698449778596,0.0003997334811675822
2,0.04,1.0000000000000007,0.943954801324326,0.0015957427799956684
3,0.06,1.0000000000000007,0.8781033182454259,0.0035785073248362845
4,0.08,1.0000000000000009,0.7932305805691301,0.006332334176146594
5,0.1,1.0000000000000009,0.6955529486808834,0.0098356147639628
6,0.12,1.0000000000000009,0.5916939103630491,0.014061173988862448
7,0.14,1.0000000000000009,0.4879734043417061,0.018976701885072972
8,0.16,1.0000000000000007,0.3898105101963148,0.024545255966722867
9,0.18,1.0000000000000007,0.3013125215821264,0.03072582078480242
10,0.2,1.0000000000000007,0.2250846076625129,0.037473910161937705
11,0.22,1.0000000000000007,0.16225385461875494,0.04474219706492655
12,0.24,1.0000000000000007,0.11266770412159506,0.0524811561133353
13,0.26,1.0000000000000004,0.07520546199800471,0.06063970427242681
14,0.28,1.0000000000000004,0.04813494736789718,0.06916582628392151
15,0.3,1.0000000000000002,0.029453266996184543,0.07800717277451856
16,0.32,1.0000000000000002,0.017167205252530984,0.08711162066346599
17,0.34,1.0000000000000002,0.009489556939898953,0.0964277873741062
18,0.36,1.0,0.00494777322084879,0.1059054923468142
19,0.38,1.0000000000000002,0.0024167160886464406,0.11549616136298832
20,0.4,1.0,0.0010962139075539983,0.12515317114125615
21,0.42,1.0,0.0004564865006220144,0.13483213348918166
22,0.44,1.0,0.0001718087952307872,0.14449111993183272
23,0.46,1.0000000000000002,5.716520925036309e-5,0.15409082915294955
24,0.48,1.0000000000000002,1.6263108367753654e-5,0.16359470075049865
25,0.5,1.0,3.7451031971380617e-6,0.17296897971562164
26,0.52,1.0000000000000002,6.295754590413933e-7,0.18218273669450424
27,0.54,1.0,6.01157611392091e-8,0.19120784949922398
28,0.56,1.0000000000000002,9.660859012435236e-10,0.20001895151721247
29,0.58,1.0000000000000002,4.209660082946755e-10,0.2085933526565878
30,0.6,1.0,1.4244810345071283e-10,0.21691093828700406
31,0.62,1.0000000000000007,2.4551317296893216e-11,0.22495405132514693
32,0.64,1.0000000000000007,1.269447451380884e-10,0.23270736220282773
33,0.66,1.0000000000000007,4.2266780289878656e-11,0.24015773097448323
34,0.68,1.0000000000000009,5.831519746659059e-12,0.24729406529771952
35,0.7000000000000001,1.0000000000000009,6.835946629103139e-11,0.25410717748017103
36,0.72,1.0000000000000009,5.207058508115444e-11,0.2605896432490978
37,0.74,1.0000000000000007,1.1223214142968608e-13,0.26673566438385676
38,0.76,1.0000000000000009,1.1517518874636831e-10,0.2725409368686534
39,0.78,1.0000000000000009,3.6159792982738034e-10,0.27800252578318996
40,0.8,1.0000000000000009,4.397590390217055e-10,0.2831187477580873
41,0.8200000000000001,1.0000000000000009,2.1495005585066955e-10,0.28788906148340054
42,0.84,1.0000000000000009,1.225245061937111e-12,0.29231396647295005
43,0.86,1.0000000000000009,2.556831502186667e-10,0.2963949100532962
44,0.88,1.0000000000000009,9.796720464828245e-10,0.30013420236121247
45,0.9,1.0000000000000009,1.550687181701413e-9,0.3035349389935633
46,0.92,1.0000000000000009,1.313412877490226e-9,0.30660093085389994
47,0.9400000000000001,1.0000000000000009,4.24002334992175e-10,0.30933664067572575
48,0.96,1.0000000000000007,3.108986199987759e-11,0.311747125667974
49,0.98,1.0000000000000009,1.38120725021359e-9,0.3138379857185321
50,1.0,1.0000000000000009,4.480254265865833e-9,0.31561531660157016
51,1.02,1.0000000000000007,7.576781488570962e-9,0.31708566765932356
52,1.04,1.0000000000000007,8.258483069322164e-9,0.3182560034644974
53,1.06,0.9999999999999986,5.590325661929625e-9,0.3191336690118487
54,1.08,0.9999999999999986,1.5444483109299012e-9,0.31972635803350524
55,1.1,0.9999999999999986,1.0358458771244819e-10,0.32004208407921164
56,1.12,0.9999999999999987,4.083574561489863e-9,0.3200891540481958
57,1.1400000000000001,0.9999999999999984,1.1877043509124219e-8,0.3198761439012784
58,1.16,0.9999999999999986,1.726469802710949e-8,0.31941187631954293
59,1.18,0.9999999999999986,1.4026478071703152e-8,0.3187054001080605
60,1.2,0.9999999999999986,3.739786360195668e-9,0.31776597116950556
61,1.22,0.9999999999999986,1.89869064789443e-9,0.31660303489277986
62,1.24,0.9999999999999986,3.679511627652946e-8,0.315226209816139
63,1.26,0.9999999999999987,1.3869986332600503e-7,0.3136452724331408
64,1.28,0.9999999999999986,3.2262918700573334e-7,0.31187014301360616
65,1.3,0.9999999999999986,5.731716481788467e-7,0.3099108723114001
66,1.32,0.9999999999999986,8.409476982927725e-7,0.30777762902706884
67,1.34,0.9999999999999986,1.0556924488046993e-6,0.30548068788712274
68,1.36,0.9999999999999986,1.1524203525643847e-6,0.3030304181939598
69,1.3800000000000001,0.9999999999999986,1.0991559868100797e-6,0.300437272692058
70,1.4000000000000001,0.9999999999999986,9.121883255706653e-7,0.29771177658799697
71,1.42,0.9999999999999984,6.500112119270003e-7,0.2948645165549627
72,1.44,0.9999999999999986,3.879446424224462e-7,0.29190612954734896
73,1.46,0.9999999999999986,1.8610330481242088e-7,0.2888472912485512
74,1.48,0.9999999999999986,6.752058937587794e-8,0.285698703975492
75,1.5,0.9999999999999986,1.7767691311289143e-8,0.2824710838672171
76,1.52,0.9999999999999986,4.863639019953811e-9,0.2791751471922228
77,1.54,1.000000000000001,5.900701738944983e-9,0.2758215956201342
78,1.56,1.0000000000000009,2.253947701960674e-8,0.2724211003178724
79,1.58,1.0000000000000009,7.490401166610222e-8,0.2689842847485372
80,1.6,1.0000000000000009,1.7859196848557922e-7,0.2655217060724399
81,1.62,1.0000000000000009,3.226946788167326e-7,0.26204383507425005
82,1.6400000000000001,1.0000000000000009,4.678918309694857e-7,0.25856103456746327
83,1.6600000000000001,1.0000000000000009,5.699630411928387e-7,0.2550835362574537
84,1.68,1.0000000000000009,6.14035548430019e-7,0.2516214160769687
85,1.7,1.0000000000000009,6.36286153229918e-7,0.24818456804300687
86,1.72,1.0000000000000009,7.299354325714606e-7,0.24478267672149867
87,1.74,1.0000000000000009,1.085135299032115e-6,0.24142518842603228
88,1.76,1.000000000000001,2.178930100671579e-6,0.23812128131891735
89,1.78,1.0000000000000009,5.2714367412075055e-6,0.2348798346269455
90,1.8,1.0000000000000009,1.3330334884387534e-5,0.23170939722993833
91,1.82,1.0000000000000009,3.236774155837172e-5,0.22861815592695667
92,1.84,1.0000000000000009,7.294331910483501e-5,0.22561390373200585
93,1.86,1.0000000000000009,0.00015132979406536336,0.2227040085969779
94,1.8800000000000001,1.0000000000000009,0.0002896585099023117,0.2198953830028535
95,1.9000000000000001,1.0000000000000009,0.0005143768063101463,0.21719445489888606
96,1.92,1.0000000000000009,0.0008526281928615509,0.2146071405013981
97,1.94,1.0000000000000009,0.0013266979214370755,0.21213881948645297
98,1.96,1.0000000000000009,0.0019473349280222866,0.20979431312151287
99,1.98,1.0000000000000009,0.002707367318046763,0.20757786587776408
100,2.0,1.0000000000000009,0.0035773482422004083,0.20549313104491657
