step,time,density_simple,blockade_violation_simple,pxp_energy_density_simple,exact_finite_density,max_truncerr,mean_bond_entropy,max_bond_entropy,log_norm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,0.0002109497826419297,3.2525078839679113e-32,-1.679774696768161e-16,0.00039962698926202563,1.8406289960041325e-28,0.0004886714628230171,0.0010208140309151616,7.278045395879469
2,0.04,0.0006209453299680498,1.7573133861930887e-25,-1.0105400950256595e-15,0.001595316714707585,1.1244494369397995e-13,0.002212124427164045,0.0035300598582298647,25.99302573842342
3,0.06,0.0013945003658568421,4.6870183967086537e-23,-2.1770314173125575e-15,0.0035775326995363213,1.1058640476035744e-12,0.0045351562329210135,0.00721374143246037,44.70804551527362
4,0.08,0.0024728535724359724,1.673129117979261e-21,-1.8587103411484897e-15,0.0063305039049877795,4.55930820861643e-12,0.007508316275853117,0.011903633972787896,63.423172569938
5,0.1,0.003851587217555151,2.349170638960912e-20,-6.134242427580313e-16,0.009832407583696497,1.290280160910224e-11,0.011064760249274625,0.01748237153647856,82.13853026388927
6,0.12,0.005525121999883109,1.9213200267684702e-19,5.133144783525954e-16,0.014055623908162158,2.948928849336421e-11,0.01515408530924194,0.023858589089879267,100.8543098737039
7,0.14,0.007486735563169746,1.1050190351698353e-18,1.516151420876479e-15,0.018967061617202904,5.868266899441375e-11,0.019735876610562524,0.030957181844268985,119.57078405542694
8,0.16,0.009728585452090743,4.964297688948215e-18,1.7797350251865227e-15,0.024528553373607424,1.059662588109346e-10,0.02477621444835993,0.038714040711689685,138.28831887768632
9,0.18,0.01224173691328223,1.8584059190182355e-17,1.654161358671572e-15,0.030697318678497842,1.780744347037038e-10,0.03024553511164295,0.047072931361650985,157.00738441680883
10,0.2,0.015016196124360297,6.049524591695973e-17,1.8267488932552264e-15,0.0374264910081559,2.831508520635039e-10,0.03611721046875276,0.05598348337533926,175.72856373187489
11,0.22,0.018040949430320252,1.76371788009635e-16,2.1100514195531756e-15,0.04466570431665207,4.309373978047759e-10,0.04236655452443656,0.0653998147691343,194.45256006365133
12,0.24,0.021304009106734186,4.704458624086003e-16,1.997429451809078e-15,0.052361732204755644,6.329987359249607e-10,0.048970107034510255,0.07527954838341758,213.1802021310781
13,0.26,0.024792466062371794,1.1663465109309394e-15,1.6835343387620991e-15,0.06045917095274836,9.029877849279207e-10,0.0559051102702099,0.08558308471651266,231.9124474323454
14,0.28,0.02849254974462603,2.7201937166912127e-15,2.1547078769450196e-15,0.06890115535362315,1.2569575989490737e-9,0.06314912847246981,0.09627305106072115,250.6503834940924
15,0.3,0.03238969532536805,6.0237020318559476e-15,1.3016328176238264e-15,0.07763009400604065,1.7137247766799575e-9,0.0706797775871583,0.10731387709185515,269.39522705115576
16,0.32,0.03646861803090895,1.2758134022210551e-14,1.023608229437173e-15,0.08658840861063347,2.2952885779225947e-9,0.0784745430844365,0.11867146459644123,288.1483211796706
17,0.34,0.040713394248130946,2.5994753137913647e-14,1.471933032303176e-15,0.09571926006038332,3.0273083014278372e-9,0.08651066965513739,0.13031292961937962,306.91113044706236
18,0.36,0.04510754880169987,5.1188575056214706e-14,1.171767542584613e-15,0.1049672429354857,3.9396391342503074e-9,0.09476511019654305,0.142206401949576,325.6852341823513
19,0.38,0.04963414756766426,9.778547568864573e-14,1.1112282881170121e-15,0.11427902960269093,5.066923646366375e-9,0.10321452375292962,0.1543208711323969,344.4723180079111
20,0.4,0.05427589437973009,1.8176499262010996e-13,1.5511363002546166e-15,0.12360394564109761,6.449232478966335e-9,0.11183531353227945,0.1666260710100082,363.27416380812576
21,0.42,0.05901523100812191,3.295803603177587e-13,2.688617569454339e-15,0.1328944598759745,8.132743731237396e-9,0.12060369711748026,0.17909239667589338,382.09263834007044
22,0.44,0.058119718411122956,6.230111173982791e-13,-8.163182753242849e-15,0.14211880744888877,8.36825014020726e-9,0.13578659565090673,0.24272393931989428,401.5378784025799
23,0.46,0.060370493690362216,9.89629414187774e-10,3.566975564416044e-14,0.15134570575304016,7.666508646782959e-9,0.2406416521708193,0.6658392723758465,431.9017880740367
24,0.48,0.06653378431190632,8.889843666279828e-15,2.4742128895774778e-14,0.16044780610242917,3.185504862558929e-8,0.27848832648448446,0.6994835680311141,469.3182078492599
25,0.5,0.06879432085550617,6.997468409132733e-14,1.6344539310049857e-14,0.16936759162609985,8.644381306197932e-9,0.2895978494064972,0.6810350509146793,506.76857701448523
26,0.52,0.07085938234213486,2.6186246851121195e-13,8.238440657510757e-15,0.17807440983596498,1.8662641486806294e-8,0.2926610167352528,0.6834217798652849,544.2728330958572
27,0.54,0.07306986808273518,6.888870604601785e-13,6.937484454535176e-15,0.1865409480826373,3.434009960516593e-8,0.2993840393306645,0.6768528213873602,581.7960217658192
28,0.56,0.07531579553179381,1.4689946853563585e-12,1.1725031503987866e-14,0.19474343948792314,5.327608618292842e-8,0.3052174389818108,0.6731086437458873,619.3523458191344
29,0.58,0.07761258274416714,2.741145405142623e-12,8.953892046031235e-15,0.20266136592604092,7.64531598960892e-8,0.31168897000539375,0.6681004968408651,656.941301858639
30,0.6,0.07993295743566402,4.670719180607467e-12,5.738200914723789e-15,0.21027730651759488,1.0311814571071359e-7,0.3182749323986892,0.6631002059484054,694.5683977424668
31,0.62,0.08226345469312929,7.45582705736171e-12,9.418378487293591e-15,0.21757669453682527,1.3323745330945125e-7,0.3250700743864042,0.6577338530720115,732.2373399494254
32,0.64,0.08458860399821039,1.133390211065065e-11,9.688632573319553e-15,0.22454760366870113,1.665053243541648e-7,0.33200674966007715,0.6520904331704899,769.9526300454675
33,0.66,0.08689477984932631,1.6585874988464228e-11,8.794212465199166e-15,0.23118053379470244,2.026605326002942e-7,0.33906085975348205,0.6461539027655994,807.718776564507
34,0.68,0.08916922301596597,2.3538828438450204e-11,6.429454453118784e-15,0.237468216672227,2.4139055686816226e-7,0.34620209957888276,0.6399405237496648,845.5405096076687
35,0.7000000000000001,0.09140014799815176,3.256625675040751e-11,1.0933500716090983e-14,0.24340544409436188,2.8235439721630744e-7,0.3534039207357437,0.6334693865044154,883.4227281187344
36,0.72,0.09357666361316498,4.408592324083936e-11,8.981404234479633e-15,0.24898892278511095,3.251821397483772e-7,0.36064118691659813,0.6267678952591065,921.370507906262
37,0.74,0.09568874476173807,5.855524222719775e-11,1.4633374277733475e-14,0.25421715664218764,3.694829592443656e-7,0.36789020248835413,0.6198704268209181,959.3890926155325
38,0.76,0.09772721206889716,7.646434547761924e-11,1.784133947727758e-14,0.25909035440906336,4.148542453947364e-7,0.37512842692317544,0.61281781945041,997.483882482727
39,0.78,0.09968372301166867,9.832719406352686e-11,1.5204594690564353e-14,0.26361035822779993,4.608920880436235e-7,0.3823343025961566,0.6056564369306253,1035.660416839463
40,0.8,0.1015507713600838,1.246713114718661e-10,1.614468556696388e-14,0.26778058622971207,5.072021043221646e-7,0.38948712969414195,0.5984370132063294,1073.9243498443223
41,0.8200000000000001,0.10332169267130012,1.5602690900594285e-10,1.484519362207837e-14,0.2716059804618614,5.534098548638623e-7,0.3965669891447925,0.5912133013757118,1112.2814185355994
42,0.84,0.10499067350626963,1.9291632405709254e-10,1.6379985622243373e-14,0.27509295015444934,5.991701905461533e-7,0.40355470359345547,0.5840405945011056,1150.7374026749967
43,0.86,0.10655276206353237,2.3584476931750107e-10,1.753796001760186e-14,0.2782492997036666,6.441750226847883e-7,0.4104318269074839,0.576974195118409,1189.298076295713
44,0.88,0.1080038778636848,2.852933742607722e-10,1.9843341865771895e-14,0.2810841308446065,6.881591754160119e-7,0.4171806551962822,0.570067916261608,1227.969151492709
45,0.9,0.10934081793845822,3.4171537669683e-10,1.7180137665979912e-14,0.28360770935731444,7.309041491192533e-7,0.4237842579545538,0.5633726956703026,1266.7562157674033
46,0.92,0.11056125669895499,4.0553609502751663e-10,1.898434536171982e-14,0.2858312882929795,7.722397857499511e-7,0.4302265350200575,0.5607823824227174,1305.6646651012977
47,0.9400000000000001,0.11166373639976945,4.771570039568537e-10,2.292780171710372e-14,0.2877668821019797,8.12043970453325e-7,0.43649231091301416,0.5771702338105852,1344.6996357677829
48,0.96,0.11264764509574257,5.569638920490364e-10,2.129285233999377e-14,0.2894269891321991,8.502406206519242e-7,0.44256747989384065,0.5936267324760016,1383.8659385406602
49,0.98,0.11351317945462834,6.453387574327316e-10,2.4652383765390338e-14,0.2908242636467802,8.867962974861056e-7,0.4484392108099574,0.6100837254167115,1423.1679992496245
50,1.0,0.11426129091506652,7.426748596687695e-10,2.5810494572620524e-14,0.29197114264071833,9.217158208471834e-7,0.45409621052700466,0.6264679845368659,1462.6098094269948
51,1.02,0.1148936154517275,8.493942380122907e-10,2.7555998598084866e-14,0.2928794371164255,9.55037277338999e-7,0.45952903074727747,0.6427034183743725,1502.194890029678
52,1.04,0.11541238937237368,9.659670462339786e-10,2.7580537340153893e-14,0.2935599018516004,9.868267830640957e-7,0.4647303892748431,0.6587136779362888,1541.9262699694416
53,1.06,0.1158203556699778,1.092932220743937e-9,2.6769632824470717e-14,0.2940218017450287,1.0171733071284898e-6,0.4696954675823562,0.6744249161572777,1581.8064796293818
54,1.08,0.11612066697492625,1.2309192387962825e-9,2.5079736577696134e-14,0.29427249620430074,1.04618378776738e-6,0.4744221449134106,0.6897684351313531,1621.8375579535798
