n,D,dt,cutoff,total_time,ed_mode,observable_mode,ed_boundary_condition,ed_symmetry_sector,ed_observable_scope,ed_reference_label,ed_basis_dimension,ed_constrained_dimension,ed_group_order,ed_hamiltonian_nnz,ed_runtime_seconds,ipeps_runtime_seconds,reversibility_runtime_seconds,density_error_simple,density_error_exact_finite,density_error_ctm,return_probability_error,ed_return_probability,ed_excitation_density,ipeps_simple_density,ipeps_exact_finite_density,ipeps_ctm_density,max_truncerr,log_norm_initial,log_norm_final,log_norm_delta_abs,reversibility_density_drift,ctm_trust_status,ctm_trust_reason,notes,warnings
4,2,0.01,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,29,743,128,100,0.002059314,2.478956056,1.570809326,-0.0063493474211965654,,,,0.8509901493156848,0.009835615793711339,0.003486268372514773,,,4.062982724652761e-12,0.0,310.5323194745649,310.5323194745649,1.1821956926731596e-11,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
4,3,0.01,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,29,743,128,100,0.002059314,78.114506317,80.141951223,-0.00561494445953505,,,,0.8509901493156848,0.009835615793711339,0.004220671334176289,,,2.8137238307503557e-6,0.0,351.2187507528694,351.2187507528694,0.024492643290920373,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
5,1,0.02,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,188,25531,200,1566,0.17536834,0.541936514,1.509740613,-0.0015789008714927558,,,,0.7771539891873696,0.009835614761304822,0.008256713889812067,,,7.702799719493454e-5,0.0,-0.21904000293026235,0.21904000293026235,0.00020894721416295757,not_run,not_run,M3 larger-D PXP ED benchmark,exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages
5,2,0.02,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,188,25531,200,1566,0.17536834,2.082899531,1.471152891,-0.00656484073431848,,,,0.7771539891873696,0.009835614761304822,0.0032707740269863426,,,1.2903255954979992e-11,0.0,223.5426758995646,223.5426758995646,2.1265028951386887e-13,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
5,3,0.02,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,188,25531,200,1566,0.17536834,111.105589134,120.56288138,-0.006723114391716526,,,,0.7771539891873696,0.009835614761304822,0.0031125003695882964,,,3.7458539436105506e-6,0.0,279.3916174609745,279.3916174609745,0.020655375732151277,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
5,1,0.01,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,188,25531,200,1566,0.013880436,1.922091044,1.499388043,-0.0026851433213349162,,,,0.7771539891873696,0.009835614761304822,0.007150471439969906,,,5.698401651659688e-5,0.0,-0.6219189388504108,0.6219189388504108,0.0005335432907271453,not_run,not_run,M3 larger-D PXP ED benchmark,exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages
5,2,0.01,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,188,25531,200,1566,0.013880436,3.833590872,3.804401645,-0.006562264396677655,,,,0.7771539891873696,0.009835614761304822,0.0032733503646271674,,,4.0629828355683945e-12,0.0,483.4747995466304,483.4747995466304,8.066619053083517e-12,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
5,3,0.01,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,188,25531,200,1566,0.013880436,119.532079146,118.959979664,-0.005825032248056061,,,,0.7771539891873696,0.009835614761304822,0.004010582513248762,,,1.4434391080737209e-6,0.0,542.3502473045171,542.3502473045171,0.02314684984048096,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
6,1,0.02,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,9702,2406862,288,143354,1.536694505,1.551927857,1.159066701,-0.001578915549530423,,,,0.6955529486808834,0.0098356147639628,0.008256699214432377,,,7.702799480473374e-5,0.0,-0.3818276110132355,0.3818276110132355,0.00020894534289594844,not_run,not_run,M3 larger-D PXP ED benchmark,exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages
6,2,0.02,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,9702,2406862,288,143354,1.536694505,2.779226373,2.047643653,-0.0067032249054034335,,,,0.6955529486808834,0.0098356147639628,0.0031323898585593666,,,1.2903255900741316e-11,0.0,320.2386716664392,320.2386716664392,2.051620048042045e-13,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
6,3,0.02,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,9702,2406862,288,143354,1.536694505,170.261902937,158.582820522,-0.0062016525180033704,,,,0.6955529486808834,0.0098356147639628,0.00363396224595943,,,7.519703410248887e-6,0.0,399.71942865099913,399.71942865099913,0.03134119870953426,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
6,1,0.01,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,9702,2406862,288,143354,1.367046247,2.118808409,1.985941043,-0.0026851673217885407,,,,0.6955529486808834,0.0098356147639628,0.00715044744217426,,,5.698398843143879e-5,0.0,-1.0786595329308686,1.0786595329308686,0.0005335557035012478,not_run,not_run,M3 larger-D PXP ED benchmark,exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages
6,2,0.01,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,9702,2406862,288,143354,1.367046247,5.806158494,3.539310978,-0.006700795392371026,,,,0.6955529486808834,0.0098356147639628,0.0031348193715917743,,,4.062982831819001e-12,0.0,694.5414796061367,694.5414796061367,5.666001370479822e-12,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
6,3,0.01,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,9702,2406862,288,143354,1.367046247,166.772111649,162.550010245,-0.00566286437126711,,,,0.6955529486808834,0.0098356147639628,0.0041727503926956904,,,2.786621953103046e-6,0.0,777.6658794908944,777.6658794908944,0.02035793623055427,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
