step,time,density_simple,blockade_violation_simple,pxp_energy_density_simple,exact_finite_density,max_truncerr,mean_bond_entropy,max_bond_entropy,log_norm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,0.0002109497826419297,3.2525078839679113e-32,-1.679774696768161e-16,0.00039962698926202563,1.8406289960041325e-28,0.0004886714628230171,0.0010208140309151616,7.278045395879469
2,0.04,0.0006209453299680498,1.7573133861930887e-25,-1.0105400950256595e-15,0.001595316714707585,1.1244494369397995e-13,0.002212124427164045,0.0035300598582298647,25.99302573842342
3,0.06,0.0012641770396280166,4.1139355939304174e-23,-9.476620082870247e-14,0.003577534104450399,8.613744336309248e-13,0.004414852576082999,0.00721374143246037,45.3162431774376
4,0.08,0.012855519160912253,8.388635964897133e-13,3.2805152928053856e-14,0.0063305606392231335,9.760496173701568e-13,0.13086591100835665,0.6837364971106143,75.7701987575281
5,0.1,0.027606408099578556,1.734178770668417e-8,1.924077852111928e-12,0.009253065517295518,2.1856425657917976e-5,0.1800649567682724,0.9515190534904667,113.19472248855081
6,0.12,0.03142311958080509,6.001212235820241e-8,4.1516301942671745e-12,0.012179167802155017,3.729873901632236e-5,0.19545873361831287,0.9513558697142467,150.5612352908884
7,0.14,0.03199721970662449,8.10233534001663e-8,2.996485291630659e-12,0.015513607423148803,5.371523305867733e-5,0.19062014371995428,0.9247987514863805,187.85942108001157
8,0.16,0.033423309430156145,1.399077132699369e-7,4.211731579933578e-12,0.019222690029236107,4.864381110652279e-5,0.18906095406739107,0.9272414011280206,225.09031278891698
9,0.18,0.034774240108373065,1.5902209877322707e-7,5.851573742592869e-12,0.023257398418983798,5.6017785909189644e-5,0.18620726018674083,0.9140001179965368,262.24064239775447
10,0.2,0.03689964949799544,1.28167701618129e-7,1.0101728667613687e-11,0.02774975089436212,6.505407801060804e-5,0.19082952522291574,0.9128481617356825,299.28974119632056
11,0.22,0.037800608312725206,2.0051294423561958e-7,1.1865298799252294e-11,0.032559105084358976,8.077407148411092e-5,0.1908409798595606,0.9038882969904931,336.2635908105935
12,0.24,0.038951468207196235,2.31930138967427e-7,1.492124748429308e-11,0.03770702283268726,8.814046892748225e-5,0.1927539205087827,0.9008388705419608,373.1872367505807
13,0.26,0.040101090956535565,2.1339093628188286e-7,1.763274582012067e-11,0.04314165453372514,7.868086546222028e-5,0.19287234216766225,0.8944385876431256,409.998161366807
14,0.28,0.04151023200943845,2.0780924220283917e-7,2.0687781299245324e-11,0.048834226354980935,7.264381562321125e-5,0.1935010627682634,0.8908138261151015,446.68706063086097
15,0.3,0.04462260265933398,2.2081820901478684e-7,2.5190894657471503e-11,0.05470056154777423,7.153144399662167e-5,0.19550106930772307,0.8863620034705133,483.2637485215822
16,0.32,0.049964853234235634,6.736323248027982e-8,2.5038787202260283e-11,0.0614315611197526,6.217517470852994e-5,0.21140245464726523,0.8849287391932703,519.798586108848
17,0.34,0.052639703252808326,9.594912344395324e-8,2.927526745542117e-11,0.06878413316941936,6.335344936363838e-5,0.21754876672812828,0.8792695443517301,556.3735226156334
18,0.36,0.05540894816363872,1.6908739064164916e-7,3.0545408766935503e-11,0.07706332733129823,1.440235433991847e-5,0.22941290414904378,0.8722890363388794,593.0555010370595
19,0.38,0.05737821668461048,2.4416171880941724e-7,3.159321229168879e-11,0.08558556261395493,1.884875005199402e-5,0.2350810346106226,0.8672693406824307,629.765647170651
20,0.4,0.05926769329096932,2.190740612287754e-7,3.323265089576601e-11,0.0942796933847602,2.6039309359630194e-5,0.24055345813264406,0.8623397255324919,666.4606001357135
21,0.42,0.06119886829656285,1.169774663043136e-7,3.5919306534782803e-11,0.10311461413176935,2.474232117473183e-5,0.24605068001227012,0.8573531176700016,703.1420624072473
22,0.44,0.0632247160696483,3.394026118754379e-8,3.9086815498239854e-11,0.11208715161320598,1.411178142647481e-5,0.251751354089343,0.852349476135328,739.8107938799976
23,0.46,0.06532753144965492,6.292407949501308e-9,4.2157458561278925e-11,0.12116488858314181,4.647522538327855e-6,0.25742070718086096,0.8474207986255307,776.4669597894082
24,0.48,0.06749605121514765,1.4281304631933817e-9,4.5108744079532574e-11,0.1302814230439718,2.4853900505890416e-6,0.2630681884522416,0.8425894243178759,813.109410540862
25,0.5,0.06973561889876795,7.889320483240228e-10,4.8165076518586734e-11,0.13937836811857868,2.5616812023854603e-6,0.2687974026609247,0.8378571409755754,849.7367578984944
26,0.52,0.0720473066216247,7.380352023792318e-10,5.1358683972252156e-11,0.1484100772588503,2.671156270278564e-6,0.27469274945875677,0.8332061235121341,886.347951177971
27,0.54,0.07442471852844464,7.997472104666133e-10,5.469399296242919e-11,0.15733766644343652,2.808143575009035e-6,0.28079386066128514,0.8286227995120846,922.9424439964398
28,0.56,0.0768574486555435,9.048916484833795e-10,5.815969437780832e-11,0.16612569307752273,2.9683218453033716e-6,0.2871219696084075,0.8240863924425511,959.5203508471843
29,0.58,0.07933216147073228,1.0361442110852767e-9,6.173954862958493e-11,0.1747413006689272,3.147351719935347e-6,0.2936785288238816,0.8195777100319027,996.0825067543752
30,0.6,0.08183407148893834,1.1853562820599025e-9,6.542525231978121e-11,0.18315419760397603,3.340143077437864e-6,0.300454514576612,0.8150738235354819,1032.6305418828802
31,0.62,0.08434771301548821,1.3461736687004522e-9,6.922794081466433e-11,0.19133676438671493,3.540221130010112e-6,0.30743159372212203,0.8105513302627103,1069.1669218061127
32,0.64,0.08685777029168103,1.5116179070445662e-9,7.315291836655148e-11,0.1992641305539242,3.7391435748691035e-6,0.3145864942794153,0.8059848021055791,1105.6949731432587
33,0.66,0.08934955169800629,1.6729545559842269e-9,7.720561427929884e-11,0.2069142095541031,3.926016727513657e-6,0.32189277447712267,0.8013480313981775,1142.2188853780938
34,0.68,0.09180930438968933,1.819367726738801e-9,8.14055941900371e-11,0.21426771050897975,4.087323981982603e-6,0.32932269870161107,0.7966141098054207,1178.7436969195417
35,0.7000000000000001,0.09422433971101035,1.938671749827937e-9,8.575551279452271e-11,0.22130814421793632,4.207453957080486e-6,0.33684806124742206,0.791756327407928,1215.275265665662
36,0.72,0.09658306317540055,2.0193269096372585e-9,9.02557457545102e-11,0.228021826729345,4.270413788345587e-6,0.3444406982232781,0.7867489699033041,1251.820225920421
37,0.74,0.0988749460490794,2.0535183978264833e-9,9.48870995116829e-11,0.23439786566979295,4.262951030025264e-6,0.35207265506861707,0.7815683989180406,1288.3859309374425
38,0.76,0.10109047585436011,2.0401269485244677e-9,9.963243964431054e-11,0.24042810382544186,4.178525391963895e-6,0.35971622942257153,0.7761942298310851,1324.9803799804067
39,0.78,0.10322110105271462,1.9858515194553453e-9,1.0446293807950715e-10,0.24610700095080226,4.020495851554932e-6,0.36734392769079816,0.7706106052966535,1361.6121292836726
40,0.8,0.10525917788990134,1.9034780413966015e-9,1.0934111629742527e-10,0.2514314587408925,3.8024776053315914e-6,0.37492837039492577,0.7648074403393748,1398.2901887955736
41,0.8200000000000001,0.10719792456571933,1.808121023971436e-9,1.1424145187797263e-10,0.2564006202104425,3.545022142313601e-6,0.3824421685378299,0.7587815200494127,1435.0239098906504
42,0.84,0.10903138915339904,1.7135244737722893e-9,1.1912861039033742e-10,0.26101568309724055,3.270077933591064e-6,0.38985782600180685,0.7525373416933987,1471.8228711576924
43,0.86,0.110754436588236,1.6300020406474561e-9,1.2398150000380269e-10,0.2652797512275815,2.996053638030604e-6,0.39714774469541897,0.7460876388484271,1508.6967682993663
44,0.88,0.11236275454926638,1.5641375052526465e-9,1.2877861321756751e-10,0.2691977214137868,2.7354530479006653e-6,0.40428439865988514,0.739453556987616,1545.6553110510115
45,0.9,0.11385287083775236,1.519461143862286e-9,1.335038911339334e-10,0.2727761840015268,2.4950719913349886e-6,0.41124070346507513,0.73266445714197,1582.708127373492
46,0.92,0.11522217019073223,1.497342330283127e-9,1.381456100838815e-10,0.27602330950899223,2.2775219687875423e-6,0.4179905627002096,0.7257573248413831,1619.8646745295637
47,0.9400000000000001,0.11646889813792304,1.4977335066260898e-9,1.4269571310155569e-10,0.2789486981743079,2.0828975443619977e-6,0.4245095419733888,0.7187757801403787,1657.1341575688284
48,0.96,0.11759214255209721,1.5196949190270955e-9,1.4714154583280627e-10,0.2815631774055409,1.910024014229458e-6,0.43077560459585507,0.7117687255302559,1694.5254569307544
49,0.98,0.11859178823493591,1.5617433987157161e-9,1.5148085574463322e-10,0.28387854030860704,1.757216026210905e-6,0.43676983706391537,0.7047887174171634,1732.0470674197966
50,1.0,0.11946844495084424,1.622084212345294e-9,1.557082537412869e-10,0.2859072254930999,1.7455545845264823e-6,0.44247709353257875,0.6978901849099832,1769.7070504694068
51,1.02,0.12022335391487676,1.6987709381495045e-9,1.5981199745410957e-10,0.2876619442819099,1.772334642595116e-6,0.447886496693562,0.6911276349126515,1807.5130005746603
52,1.04,0.12085828115289633,1.7898219770113647e-9,1.6379067359812492e-10,0.28915526652579054,1.79508719457498e-6,0.45299174812042803,0.7013625214510008,1845.4720253905614
53,1.06,0.12137540785507464,1.8933103591412545e-9,1.6764598332937169e-10,0.2903991805216799,1.814134993542654e-6,0.4577912228201277,0.7145064216671924,1883.5907376396806
54,1.08,0.12177722766816597,2.0074361298110825e-9,1.7137100406650877e-10,0.29140464593881465,1.8298217810013823e-6,0.4622878471435263,0.7272604857479519,1921.8752559471925
