n,D,dt,cutoff,total_time,ed_mode,observable_mode,ed_boundary_condition,ed_symmetry_sector,ed_observable_scope,ed_reference_label,ed_basis_dimension,ed_constrained_dimension,ed_group_order,ed_hamiltonian_nnz,ed_runtime_seconds,ipeps_runtime_seconds,reversibility_runtime_seconds,density_error_simple,density_error_exact_finite,density_error_ctm,return_probability_error,ed_return_probability,ed_excitation_density,ipeps_simple_density,ipeps_exact_finite_density,ipeps_ctm_density,max_truncerr,log_norm_initial,log_norm_final,log_norm_delta_abs,reversibility_density_drift,ctm_trust_status,ctm_trust_reason,notes,warnings
3,2,0.02,1.0e-12,0.2,symmetric_pbc,ctm_trusted,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.368673319,349.15265964,1.254059562,-0.022435254785561257,,-8.449178644981403e-6,,0.6888217957865046,0.03745145090992117,0.015016196124359912,,0.03744300173127619,2.831508520697572e-10,0.0,175.7285637318741,175.7285637318741,0.06963173199930754,rejected,unaccepted_diagnostics,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
3,3,0.02,1.0e-12,0.2,symmetric_pbc,ctm_trusted,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.368673319,19.013038498,2.713035714,-0.018596019149569102,,-0.0006380075841863966,,0.6888217957865046,0.03745145090992117,0.01885543176035207,,0.036813443325734774,3.948528959353893e-6,0.0,251.40788451041675,251.40788451041675,0.01602678209228459,rejected,unaccepted_diagnostics,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
3,4,0.02,1.0e-12,0.2,symmetric_pbc,ctm_trusted,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.368673319,80.469086444,9.03655136,-0.0005518043976155337,,-0.009697064448559549,,0.6888217957865046,0.03745145090992117,0.03689964651230564,,0.02775438646136162,6.505408115282717e-5,0.0,299.2897412304804,299.2897412304804,0.013142074612624252,rejected,unaccepted_diagnostics,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
