chi,tol,maxiter,verbosity,ctm_density,ctm_blockade_violation,ctm_pxp_energy_density,ctm_iterations,ctm_residual,ctm_converged,ctm_accepted,trust_policy_min_points,trust_policy_require_accepted_diagnostics,trust_policy_max_density_delta,trust_policy_max_blockade_delta,trust_policy_max_energy_delta,trust_policy_max_residual,trust_trusted,trust_reason,trust_compared_points,trust_finite_chi_density_delta,trust_finite_chi_blockade_delta,trust_finite_chi_energy_delta,trust_observed_max_residual
8,1.0e-8,100,0,0.17154121709211578,1.0188305787456708e-11,-1.4833813190130563e-15,,0.0,,true,2,true,1.0e-8,1.0e-8,1.0e-8,,true,trusted,2,5.273559366969494e-16,3.0850410414099145e-18,1.367058472596167e-16,0.0
16,1.0e-8,100,0,0.17154121707990183,1.0188301550962905e-11,-1.5126788710517758e-15,,0.0,,true,2,true,1.0e-8,1.0e-8,1.0e-8,,true,trusted,2,5.273559366969494e-16,3.0850410414099145e-18,1.367058472596167e-16,0.0
32,1.0e-8,100,0,0.17154121707990272,1.0188303596116997e-11,-1.5689610104945789e-15,,0.0,,true,2,true,1.0e-8,1.0e-8,1.0e-8,,true,trusted,2,5.273559366969494e-16,3.0850410414099145e-18,1.367058472596167e-16,0.0
64,1.0e-8,100,0,0.1715412170799022,1.0188306681158038e-11,-1.4322551632349622e-15,,0.0,,true,2,true,1.0e-8,1.0e-8,1.0e-8,,true,trusted,2,5.273559366969494e-16,3.0850410414099145e-18,1.367058472596167e-16,0.0
