n,D,dt,cutoff,total_time,ed_mode,observable_mode,ed_boundary_condition,ed_symmetry_sector,ed_observable_scope,ed_reference_label,ed_basis_dimension,ed_constrained_dimension,ed_group_order,ed_hamiltonian_nnz,ed_runtime_seconds,ipeps_runtime_seconds,reversibility_runtime_seconds,density_error_simple,density_error_exact_finite,density_error_ctm,return_probability_error,ed_return_probability,ed_excitation_density,ipeps_simple_density,ipeps_exact_finite_density,ipeps_ctm_density,max_truncerr,log_norm_initial,log_norm_final,log_norm_delta_abs,reversibility_density_drift,ctm_trust_status,ctm_trust_reason,notes,warnings
3,1,0.02,1.0e-12,0.02,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.639981012,62.120966361,0.092702158,-7.435760056578736e-7,-7.435760056577652e-7,,9.540867360602334e-6,0.9964052758292085,0.00039973345560138327,0.0003989898795957254,0.0003989898795957255,,1.598933896140791e-7,0.0,-1.0773451059484028e-5,1.0773451059484028e-5,1.015052931201185e-9,not_run,not_run,M3 larger-D PXP ED benchmark,symmetric PBC ED observables are global site averages
3,2,0.02,1.0e-12,0.02,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.639981012,1.995281171,0.133286842,-0.00018878367295946085,-1.064663393624053e-7,,9.572387491552092e-7,0.9964052758292085,0.00039973345560138327,0.00021094978264192242,0.00039962698926202086,,6.057284815157998e-29,0.0,7.2780453958794755,7.2780453958794755,2.217016760635959e-30,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,3,0.02,1.0e-12,0.02,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.639981012,0.628058469,0.256792453,-0.00018878367295946863,-1.0646633935855639e-7,,9.572387491552092e-7,0.9964052758292085,0.00039973345560138327,0.00021094978264191464,0.0003996269892620247,,6.057284815157998e-29,0.0,7.27804539587947,7.27804539587947,2.224133539826552e-30,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,4,0.02,1.0e-12,0.02,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.639981012,3.186728959,1.976894979,-0.00018878367295945358,-1.064663393575806e-7,,9.572387491552092e-7,0.9964052758292085,0.00039973345560138327,0.0002109497826419297,0.0003996269892620257,,1.8406289960041325e-28,0.0,7.278045395879469,7.278045395879469,2.233362121395145e-30,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,1,0.01,1.0e-12,0.02,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,0.000748843,0.418904391,0.153717037,-1.2994550363368599e-6,-1.2994550363368057e-6,,1.4527843125611284e-5,0.9964052758292085,0.00039973345560138327,0.0003984340005650464,0.00039843400056504646,,1.5955838299076635e-7,0.0,-2.200900561089082e-5,2.200900561089082e-5,4.060344262511265e-9,not_run,not_run,M3 larger-D PXP ED benchmark,symmetric PBC ED observables are global site averages
3,2,0.01,1.0e-12,0.02,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,0.000748843,0.527431301,0.216499189,-0.00024425781941619923,-2.6631743080187276e-8,,2.39445996141896e-7,0.9964052758292085,0.00039973345560138327,0.00015547563618518404,0.0003997068238583031,,1.7267038801562589e-15,0.0,25.993019675391363,25.993019675391363,3.43309709718253e-20,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,3,0.01,1.0e-12,0.02,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,0.000748843,0.738913365,0.520327335,-0.00024425781941632505,-2.663174310653339e-8,,2.394459963639406e-7,0.9964052758292085,0.00039973345560138327,0.0001554756361850582,0.00039970682385827674,,1.7267039724053476e-15,0.0,25.99301967539138,25.99301967539138,3.432919045821505e-20,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,4,0.01,1.0e-12,0.02,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,0.000748843,2.389962194,1.60151173,-0.00024425781941627615,-2.663174311699594e-8,,2.394459965859852e-7,0.9964052758292085,0.00039973345560138327,0.0001554756361851071,0.0003997068238582663,,1.7267044062102377e-15,0.0,25.99301967539138,25.99301967539138,3.433419401502297e-20,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
